,Unnamed: 0,Unnamed: 0.1,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
0,0,0,29641524,2015-01-06 02:14:39,,CHALL,CHALL,Opinion for the Mayor,PUBLICSAFETY,,,,,,,,,,,,,Email Sent,01/20/2015 02:15:41 AM,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,1-1-1052163595,,,,,,
1,1,1,29636054,2015-01-06 02:09:30,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11372,70-06 ROOSEVELT AVENUE,ROOSEVELT AVENUE,70 STREET,BQE WESTBOUND ENTRANCE 37 AVE,,,ADDRESS,JACKSON HEIGHTS,,Precinct,Assigned,01/06/2015 10:09:30 AM,01/06/2015 02:21:26 AM,02 QUEENS,QUEENS,1013250,211238,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74642854264474,-73.89533997952648,"(40.74642854264474, -73.89533997952648)"
2,2,2,29640523,2015-01-06 02:09:18,,NYPD,New York City Police Department,Animal Abuse,No Shelter,Residential Building,11416,101-10 107 STREET,107 STREET,101 AVENUE,103 AVENUE,,,ADDRESS,OZONE PARK,,Precinct,Assigned,01/06/2015 10:09:18 AM,01/06/2015 03:14:30 AM,09 QUEENS,QUEENS,1029766,189478,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68663307825169,-73.83588154004453,"(40.68663307825169, -73.83588154004453)"
3,3,3,29635476,2015-01-06 02:08:02,,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,11233,,,,,HERKIMER STREET,THOMAS S BOYLAND STREET,INTERSECTION,BROOKLYN,,,Open,02/05/2015 02:08:02 AM,,16 BROOKLYN,BROOKLYN,1008219,186183,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.677673635302874,-73.91358587691806,"(40.677673635302874, -73.91358587691806)"
4,4,4,29641040,2015-01-06 02:03:11,01/06/2015 02:36:38 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10022,238 EAST 58 STREET,EAST 58 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,01/06/2015 10:03:11 AM,01/06/2015 02:35:57 AM,06 MANHATTAN,MANHATTAN,993656,216348,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76049674396275,-73.96604690111288,"(40.76049674396275, -73.96604690111288)"
5,5,5,29639840,2015-01-06 02:03:02,01/06/2015 03:02:45 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11368,104-40 CORONA AVENUE,CORONA AVENUE,50 AVENUE,51 AVENUE,,,ADDRESS,CORONA,,Precinct,Closed,01/06/2015 10:03:02 AM,01/06/2015 03:02:19 AM,04 QUEENS,QUEENS,1023838,210331,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74389799732929,-73.8571336424811,"(40.74389799732929, -73.8571336424811)"
6,6,6,29636066,2015-01-06 02:02:23,,CHALL,CHALL,Opinion for the Mayor,PUBLICSAFETY,,,,,,,,,,,,,Email Sent,01/20/2015 02:03:14 AM,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,1-1-1052163582,,,,,,
7,7,7,29638832,2015-01-06 02:01:10,,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,11233,,,,,HERKIMER STREET,ROCKAWAY AVENUE,INTERSECTION,BROOKLYN,,,Open,02/05/2015 02:01:10 AM,,16 BROOKLYN,BROOKLYN,1008988,186128,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67752055718572,-73.91081364710271,"(40.67752055718572, -73.91081364710271)"
8,8,8,29640402,2015-01-06 02:00:13,,DCA,Department of Consumer Affairs,Consumer Complaint,Overcharge,,10033,802 WEST 181 STREET,WEST 181 STREET,FT WASHINGTON AVENUE,PINEHURST AVENUE,,,ADDRESS,NEW YORK,,,Open,01/10/2015 02:00:13 AM,,12 MANHATTAN,MANHATTAN,1001265,249311,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85095969474427,-73.9384969474412,"(40.85095969474427, -73.9384969474412)"
9,9,9,29639428,2015-01-06 01:58:15,,CHALL,CHALL,Opinion for the Mayor,PUBLICSAFETY,,,,,,,,,,,,,Email Sent,01/20/2015 01:59:04 AM,,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,1-1-1052163548,,,,,,
